Importance	Ngram	Frequency in tumor_stage Columns	Frequency in Nontumor_stage Columns
539	19_	0.23076923076923078	0.11839430894308943
540	13_	0.3076923076923077	0.13211382113821138
541	dht	0.0	0.0040650406504065045
542	sof	0.0	0.0066056910569105695
543	pm2	0.0	0.001524390243902439
544	nt3	0.038461538461538464	0.0066056910569105695
545	e23	0.038461538461538464	0.003556910569105691
546	le_	0.9615384615384616	0.9603658536585366
547	tiv	0.15384615384615385	0.07926829268292683
548	gfp	0.038461538461538464	0.03048780487804878
549	bc_	0.07692307692307693	0.007113821138211382
550	e_n	0.8076923076923077	0.8816056910569106
551	48_	0.19230769230769232	0.07367886178861789
552	ire	0.038461538461538464	0.009146341463414634
553	t1_	0.038461538461538464	0.039634146341463415
554	11m	0.038461538461538464	0.001524390243902439
555	tho	0.0	0.024898373983739838
556	rgi	0.07692307692307693	0.008638211382113821
557	t50	0.038461538461538464	0.0020325203252032522
558	d8_	0.038461538461538464	0.016260162601626018
559	1_t	0.11538461538461539	0.03201219512195122
560	c_j	0.038461538461538464	0.0005081300813008131
561	fr1	0.0	0.001524390243902439
562	d8+	0.038461538461538464	0.005589430894308943
563	ara	0.038461538461538464	0.010670731707317074
564	40a	0.038461538461538464	0.0005081300813008131
565	pac	0.038461538461538464	0.008638211382113821
566	ch2	0.038461538461538464	0.0020325203252032522
567	ymp	0.0	0.037601626016260166
568	lon	0.11538461538461539	0.056402439024390245
569	67_	0.2692307692307692	0.059959349593495935
570	16_	0.34615384615384615	0.13414634146341464
571	ffu	0.038461538461538464	0.004573170731707317
572	afr	0.038461538461538464	0.007113821138211382
573	bty	0.038461538461538464	0.017784552845528455
574	n-1	0.038461538461538464	0.0040650406504065045
575	8_b	0.038461538461538464	0.009654471544715448
576	ocy	0.0	0.08790650406504065
577	iic	0.07692307692307693	0.0
578	fus	0.038461538461538464	0.010670731707317074
579	tio	0.19230769230769232	0.23628048780487804
580	wil	0.038461538461538464	0.051321138211382115
581	oca	0.11538461538461539	0.049796747967479675
582	58_	0.3076923076923077	0.05386178861788618
583	y_c	0.038461538461538464	0.06453252032520325
584	59/	0.038461538461538464	0.0
585	57b	0.038461538461538464	0.009654471544715448
586	k01	0.038461538461538464	0.0005081300813008131
587	ade	0.19230769230769232	0.04420731707317073
588	h36	0.038461538461538464	0.0020325203252032522
589	ms_	0.038461538461538464	0.012703252032520325
590	85_	0.11538461538461539	0.04573170731707317
591	95a	0.038461538461538464	0.0005081300813008131
592	se1	0.07692307692307693	0.00508130081300813
593	uda	0.0	0.003048780487804878
594	1cn	0.038461538461538464	0.0005081300813008131
595	con	0.15384615384615385	0.3013211382113821
596	nor	0.23076923076923078	0.125
597	g3)	0.038461538461538464	0.0010162601626016261
598	92n	0.0	0.0010162601626016261
599	52_	0.11538461538461539	0.0625
600	c_t	0.11538461538461539	0.02032520325203252
601	k_c	0.038461538461538464	0.011178861788617886
602	r(l	0.038461538461538464	0.0
603	an2	0.038461538461538464	0.0005081300813008131
604	xso	0.038461538461538464	0.0
605	poo	0.038461538461538464	0.015752032520325202
606	per	0.07692307692307693	0.07926829268292683
607	04m	0.038461538461538464	0.0
608	5_r	0.038461538461538464	0.022357723577235773
609	7_t	0.11538461538461539	0.01524390243902439
610	-87	0.038461538461538464	0.003048780487804878
