Fold	Prediction	Truth	Proj&Col
1	0.0	0	842655
1	0.04	0	626447
1	0.01	0	948350
1	0.0	0	422166
1	0.0	0	770195
1	0.02	0	844894
1	0.0	0	387681
1	0.0	0	516835
1	0.14	1	598161
1	0.01	0	703847
1	0.0	0	390632
1	0.01	0	344972
1	0.0	0	750106
1	0.0	0	665225
1	0.01	0	312813
1	0.0	0	816905
1	0.09	0	673437
1	0.0	0	691578
1	0.02	0	414329
1	0.0	0	512902
1	0.01	0	603358
1	0.01	0	429023
1	0.0	0	633145
1	0.03	0	147137
1	0.03	0	512873
1	0.0	0	861139
1	0.0	0	838374
1	0.0	0	432559
1	0.02	0	747248
1	0.0	0	983280
1	0.0	0	667740
1	0.0	0	812938
1	0.03	0	736702
1	0.01	1	297346
1	0.03	0	719362
1	0.1	0	701744
1	0.02	0	276014
1	0.0	0	648986
1	0.0	0	625889
1	0.04	0	964459
1	0.03	0	707605
1	0.01	0	899656
1	0.0	0	612310
1	0.02	0	183943
1	0.01	0	753110
1	0.0	0	391490
1	0.04	0	806920
1	0.01	0	807598
1	0.01	0	637307
1	0.0	0	625337
1	0.02	0	718552
1	0.01	0	494021
1	0.01	0	487726
1	0.0	0	603415
1	0.02	0	836320
1	0.08	0	828147
1	0.01	0	341466
1	0.01	0	481738
1	0.1	0	587724
1	0.01	0	254790
1	0.02	0	392660
1	0.08	0	833336
1	0.03	0	744255
1	0.0	0	327086
1	0.01	0	476993
1	0.08	0	819151
1	0.02	0	488467
1	0.07	1	598835
1	0.04	0	907376
1	0.01	0	305907
1	0.03	0	150195
1	0.0	0	505477
1	0.0	0	341990
1	0.0	0	253774
1	0.05	0	126585
1	0.0	0	841989
1	0.02	0	752109
1	0.03	0	331131
1	0.01	0	304502
1	0.07	0	850175
1	0.02	0	347838
1	0.01	0	761082
1	0.01	0	926489
1	0.0	0	276279
1	0.01	0	764592
1	0.02	0	326313
1	0.01	0	685420
1	0.0	0	761427
1	0.0	0	486331
1	0.01	0	812881
1	0.01	0	667060
1	0.0	0	593206
1	0.0	0	588429
1	0.03	0	543671
1	0.0	0	942939
1	0.01	0	930477
1	0.0	0	1002307
1	0.0	0	851054
1	0.01	0	718774
1	0.0	0	801685
1	0.0	0	883765
1	0.02	0	489369
1	0.0	0	559519
1	0.01	0	339176
1	0.02	0	449520
1	0.0	0	664962
1	0.0	0	612307
1	0.07	0	821503
1	0.0	0	551587
1	0.0	0	647379
1	0.01	0	415182
1	0.0	0	481581
1	0.04	0	625983
1	0.0	0	646081
1	0.04	0	393897
1	0.0	0	634109
1	0.01	0	547615
1	0.0	0	1005612
1	0.0	0	206428
1	0.04	0	316573
1	0.01	0	266045
1	0.0	0	431399
1	0.01	0	473993
1	0.01	0	809337
1	0.0	0	431611
1	0.01	0	1011308
1	0.0	0	893618
1	0.02	0	591799
1	0.0	0	962088
1	0.02	0	358331
1	0.0	0	971234
1	0.05	0	698086
1	0.0	0	495901
1	0.02	0	238180
1	0.0	0	851087
1	0.0	0	811447
1	0.0	0	878796
1	0.05	0	689544
1	0.0	0	772191
1	0.01	0	763218
1	0.02	0	791536
1	0.0	0	439332
1	0.01	0	856705
1	0.0	0	257358
1	0.0	0	865716
1	0.02	0	836322
1	0.0	0	832582
1	0.09	0	415951
1	0.0	0	490880
1	0.01	0	649209
1	0.0	0	919057
1	0.02	0	358239
1	0.0	0	631971
1	0.01	0	840895
1	0.0	0	566149
1	0.02	0	657414
1	0.01	0	905347
1	0.01	0	926947
1	0.01	0	181310
1	0.02	0	690937
1	0.07	0	681212
1	0.0	0	798975
1	0.0	0	754780
1	0.0	0	430265
1	0.0	0	305807
1	0.0	0	770616
1	0.03	0	655923
1	0.0	0	594940
1	0.0	0	814876
1	0.03	0	613685
1	0.0	0	902763
1	0.06	0	870897
1	0.04	0	933206
1	0.06	0	445199
1	0.01	0	506045
1	0.01	0	430255
1	0.0	0	275667
1	0.05	0	218072
1	0.0	0	679819
1	0.0	0	595385
1	0.01	0	517459
1	0.0	0	706673
1	0.01	0	699857
1	0.1	0	297366
1	0.06	0	841366
1	0.02	0	898426
1	0.04	0	649248
1	0.0	0	447437
1	0.01	0	728070
1	0.0	0	726193
1	0.04	0	661542
1	0.02	0	773749
1	0.03	0	822712
1	0.08	0	847238
1	0.02	0	597874
1	0.03	0	607963
1	0.0	0	783541
1	0.03	0	843675
1	0.01	0	317629
1	0.02	0	759921
1	0.03	0	646936
1	0.01	0	900553
1	0.0	0	643487
1	0.0	0	374724
1	0.0	0	723838
1	0.16	0	748037
1	0.01	0	473843
1	0.02	0	473659
1	0.0	0	862388
1	0.0	0	605007
1	0.02	0	587118
1	0.0	0	205531
1	0.0	0	873951
1	0.0	0	341401
1	0.01	0	470654
1	0.0	0	847244
1	0.0	0	707879
1	0.0	0	437772
1	0.02	0	517433
1	0.0	0	730036
1	0.0	0	891766
1	0.0	0	749014
1	0.01	0	674600
1	0.0	0	880424
1	0.0	0	910541
1	0.0	0	416128
1	0.01	0	743237
1	0.0	0	760461
1	0.0	0	752168
1	0.0	0	336381
1	0.04	0	742409
1	0.01	0	795623
1	0.0	0	897934
1	0.02	0	793249
1	0.0	0	738893
1	0.05	0	774643
1	0.04	0	721740
1	0.0	0	434658
1	0.0	0	901160
1	0.01	0	431286
1	0.0	0	326111
1	0.0	0	755295
1	0.02	0	798602
1	0.03	0	872362
1	0.09	0	833479
1	0.05	0	976739
1	0.02	0	679212
1	0.01	0	556031
1	0.02	0	736056
1	0.0	0	383338
1	0.0	0	557376
1	0.0	0	832954
1	0.0	0	244784
1	0.0	0	859153
1	0.0	0	688934
1	0.03	0	833297
1	0.02	0	407928
1	0.01	0	566015
1	0.11	0	497098
1	0.03	0	887473
1	0.0	0	844612
1	0.01	0	648120
1	0.0	0	756298
1	0.02	0	941844
1	0.06	0	352875
2	0.03	0	242387
2	0.0	0	488556
2	0.04	0	176410
2	0.03	0	613216
2	0.01	0	278040
2	0.0	0	993594
2	0.09	0	637651
2	0.0	0	613715
2	0.03	0	476140
2	0.0	0	865549
2	0.0	0	790758
2	0.08	0	656549
2	0.0	0	899503
2	0.0	0	783914
2	0.0	0	577553
