Importance	Ngram	Frequency in tumor_stage Columns	Frequency in Non tumor_stage Columns
374	cog	0.038461538461538464	0.0001905306277984186
375	y_3	0.0	0.002953224730875488
376	ed_	0.0	0.12746498999714204
377	n_t	0.0	0.010764980470610652
378	usc	0.0	0.005620653520053348
379	ela	0.0	0.01914832809374107
380	unt	0.0	0.01362293988758693
381	nul	0.0	0.003524816614270744
382	one	0.038461538461538464	0.024768981613794417
383	pos	0.0	0.023911593788701533
384	rci	0.0	0.018290940268648186
385	riv	0.0	0.026483757263980185
386	duc	0.0	0.013908735829284558
387	dex	0.0	0.0018100409640849767
388	cf7	0.0	0.006096980089549395
389	b2b	0.0	9.52653138992093e-05
390	urs	0.0	0.00952653138992093
391	vda	0.0	9.52653138992093e-05
392	ste	0.0	0.02705534914737544
393	vca	0.0	0.0017147756501857674
394	ula	0.0	0.02076783843002763
395	col	0.0	0.024768981613794417
396	up_	0.0	0.006287510717347814
397	dcs	0.0	0.0006668571972944651
398	por	0.0	0.004668000381061256
399	7_4	0.0	0.0013337143945889303
400	411	0.0	0.00400114318376679
401	a1_	0.0	0.007049633228541488
402	612	0.0	0.003239020672573116
403	g_r	0.0	0.0036200819281699535
404	082	0.0	0.004191673811565209
405	ate	0.0	0.09793274268838716
406	v_u	0.0	0.0003810612555968372
407	dia	0.0	0.014861388968276651
408	eal	0.0	0.022196818138515765
409	eci	0.038461538461538464	0.007240163856339907
410	ati	0.038461538461538464	0.07840335333904926
411	pse	0.0	0.0007621225111936744
412	und	0.0	0.009336000762122511
413	gen	0.0	0.058016576164618465
414	g_0	0.0	0.0006668571972944651
415	eec	0.0	0.00047632656949604646
416	atu	0.0	0.012956082690292465
417	157	0.0	0.00685910260074307
418	ta_	0.0	0.010669715156711442
419	93_	0.0	0.017338287129656092
420	ora	0.0	0.0054301228922549296
421	shr	0.0	0.007525959798037535
422	-ep	0.0	0.0009526531389920929
423	8_p	0.0	0.004382204439363628
424	070	0.0	0.004477469753262837
425	app	0.038461538461538464	0.0033342859864723255
426	cac	0.0	0.0027626941030770694
427	r_d	0.0	0.004477469753262837
428	nkg	0.0	0.0003810612555968372
429	e9o	0.0	9.52653138992093e-05
430	va_	0.038461538461538464	0.0015242450223873487
431	eat	0.0	0.08869200724016385
432	oty	0.0	0.03782032961798609
433	c2_	0.0	0.009050204820424883
434	lls	0.0	0.09717062017719348
435	pas	0.0	0.011908164237401162
436	mut	0.0	0.008478612937029627
437	b2_	0.038461538461538464	0.004668000381061256
438	lan	0.0	0.014766123654377442
