Importance	Ngram	Frequency in sex Columns	Frequency in Nonsex Columns
448	/20	0.012096774193548387	0.0011448196908986834
449	not	0.16129032258064516	0.2112192329708071
450	eth	0.06451612903225806	0.022323983972524327
451	191	0.04435483870967742	0.014310246136233544
452	get	0.012096774193548387	0.018889524899828276
453	59_	0.16129032258064516	0.04751001717229536
454	lex	0.004032258064516129	0.009730967372638809
455	f_a	0.020161290322580645	0.005724098454493417
456	gl_	0.008064516129032258	0.0005724098454493417
457	ass	0.056451612903225805	0.07212364052661706
458	neu	0.08064516129032258	0.061247853463079566
459	43_	0.18951612903225806	0.05495134516313681
460	2_3	0.03225806451612903	0.018889524899828276
461	nge	0.036290322580645164	0.007441327990841442
462	-25	0.04032258064516129	0.008586147681740127
463	ia_	0.11693548387096774	0.06239267315397825
464	986	0.008064516129032258	0.004006868918145392
465	hu_	0.012096774193548387	0.0005724098454493417
466	144	0.07661290322580645	0.01659988551803091
467	as_	0.04838709677419355	0.035489410417859184
468	t_a	0.05241935483870968	0.025186033199771037
469	7)_	0.03225806451612903	0.0045792787635947334
470	518	0.036290322580645164	0.0045792787635947334
471	cha	0.03225806451612903	0.008013737836290785
472	t_c	0.13306451612903225	0.10646823125357756
473	s_7	0.024193548387096774	0.0034344590726960505
474	oty	0.0846774193548387	0.20206067544361764
475	23_	0.2217741935483871	0.08070978820835718
476	d_c	0.0846774193548387	0.09101316542644533
477	196	0.06854838709677419	0.017172295363480253
478	pj0	0.008064516129032258	0.0
479	56_	0.16532258064516128	0.05094447624499141
480	r_3	0.04032258064516129	0.03205495134516314
481	4-7	0.020161290322580645	0.0017172295363480253
482	rs_	0.10483870967741936	0.0726960503720664
483	ntr	0.24193548387096775	0.3096737263880939
484	sin	0.07258064516129033	0.04979965655409273
485	547	0.016129032258064516	0.006868918145392101
486	95_	0.10080645161290322	0.031482541499713794
487	204	0.04435483870967742	0.012020606754436176
488	aak	0.012096774193548387	0.0
489	167	0.04435483870967742	0.012593016599885518
490	ii_	0.04838709677419355	0.01030337721808815
491	c_c	0.08870967741935484	0.08070978820835718
492	tex	0.024193548387096774	0.008013737836290785
493	iii	0.04435483870967742	0.005151688609044075
494	fec	0.04435483870967742	0.09559244419004007
495	ses	0.004032258064516129	0.0005724098454493417
496	ste	0.1532258064516129	0.08414424728105323
497	gen	0.16129032258064516	0.2633085289066972
498	34n	0.008064516129032258	0.0
499	t4a	0.004032258064516129	0.0005724098454493417
500	ivs	0.004032258064516129	0.0
501	002	0.08064516129032258	0.0206067544361763
502	yno	0.004032258064516129	0.0028620492272467086
503	504	0.028225806451612902	0.006868918145392101
504	ma_	0.21774193548387097	0.17344018317115054
505	ono	0.14919354838709678	0.08929593589009731
506	154	0.056451612903225805	0.014882655981682884
507	7ye	0.004032258064516129	0.0
508	-98	0.012096774193548387	0.0011448196908986834
509	mo_	0.14919354838709678	0.021179164281625643
510	ora	0.06048387096774194	0.015455065827132226
511	es_	0.23790322580645162	0.15798511734401832
