Importance	Ngram	Frequency in race Columns	Frequency in Non race Columns
344	39y	0.0	0.0001912960306073649
345	d33	0.0	0.0006695361071257771
346	lot	0.018867924528301886	0.0006695361071257771
347	arc	0.018867924528301886	0.026685796269727405
348	rna	0.0	0.056814921090387376
349	537	0.018867924528301886	0.0024868483978957435
350	nta	0.0	0.015973218555714968
351	y_o	0.0	0.003825920612147298
352	oun	0.0	0.008321377331420373
353	sub	0.0	0.015877570540411286
354	l_a	0.0	0.00937350549976088
355	olo	0.018867924528301886	0.02266857962697274
356	ipi	0.0	0.002582496413199426
357	au_	0.0	0.00028694404591104734
358	175	0.0	0.006408417025346724
359	hea	0.0	0.023720707795313246
360	mok	0.018867924528301886	0.001721664275466284
361	-fl	0.0	0.000860832137733142
362	n_s	0.018867924528301886	0.015303682448589193
363	ds_	0.0	0.008321377331420373
364	cic	0.0	0.000860832137733142
365	tum	0.0	0.025346724055475847
366	age	0.0	0.05107604017216643
367	l_d	0.0	0.0065040650406504065
368	lc_	0.0	0.0026781444285031084
369	-de	0.0	0.018077474892395983
370	ge_	0.0	0.043424198947871834
371	ivi	0.0	0.0065040650406504065
372	red	0.0	0.011573409851745577
373	c_d	0.0	0.008225729316116691
374	cur	0.0	0.002582496413199426
375	tem	0.0	0.020468675274988045
376	spi	0.0	0.00506934481109517
377	mim	0.0	0.0011477761836441894
378	e_s	0.0	0.021520803443328552
379	ry_	0.0	0.03778096604495457
380	15_	0.018867924528301886	0.03558106169296987
381	o_w	0.0	0.00047824007651841227
382	s_t	0.0	0.009947393591582974
383	nte	0.0	0.014729794356767098
384	alc	0.018867924528301886	0.000860832137733142
385	ult	0.0	0.02659014825442372
386	nac	0.0	0.002104256336681014
387	093	0.0	0.00392156862745098
388	tas	0.0	0.005356288857006217
389	ubi	0.0	0.001052128168340507
390	tr_	0.0	0.0037302725968436155
391	fic	0.0	0.00506934481109517
392	inv	0.0	0.001912960306073649
393	erm	0.0	0.011382113821138212
394	-pr	0.0	0.0021999043519846965
395	ili	0.0	0.007173601147776184
396	ise	0.0	0.023625059780009564
397	moc	0.0	0.010043041606886656
398	or_	0.018867924528301886	0.06676231468197034
399	igh	0.0	0.010712577714012433
400	ren	0.0	0.02190339550454328
401	crn	0.0	0.0028694404591104736
402	sil	0.0	0.0030607364897178384
403	rth	0.018867924528301886	0.0026781444285031084
404	0_s	0.0	0.004495456719273075
405	siv	0.0	0.0011477761836441894
406	n_m	0.0	0.01013868962219034
407	cdn	0.0	0.0022955523672883787
408	lic	0.0	0.029076996652319463
409	+_o	0.0	0.0003825920612147298
410	til	0.0	0.0021999043519846965
411	osi	0.0	0.015494978479196557
412	3d_	0.0	0.0032520325203252032
413	n_i	0.03773584905660377	0.009564801530368245
414	tho	0.0	0.006982305117168818
415	ans	0.0	0.017120994739359158
416	met	0.0	0.014634146341463415
417	a-c	0.0	0.0028694404591104736
418	2]_	0.0	0.0052606408417025345
419	ma_	0.018867924528301886	0.04791965566714491
420	t_i	0.018867924528301886	0.010521281683405069
421	r_s	0.0	0.0109038737446198
422	ved	0.0	0.02783357245337159
423	e_p	0.0	0.012147297943567672
424	f_h	0.0	0.0018173122907699664
425	b+_	0.0	0.0001912960306073649
426	e_t	0.018867924528301886	0.02113821138211382
427	ol-	0.0	0.0030607364897178384
428	49w	0.0	9.564801530368245e-05
429	il-	0.0	0.003347680535628886
430	tus	0.0	0.011573409851745577
431	ubt	0.0	0.003634624581539933
432	upd	0.0	0.0031563845050215206
433	gia	0.0	0.0011477761836441894
434	tri	0.0	0.016642754662840747
435	bef	0.0	0.0020086083213773313
436	ons	0.0	0.013964610234337637
437	nsi	0.0	0.006695361071257772
438	nt-	0.0	0.0030607364897178384
439	nst	0.0	0.007556193208990913
440	pia	0.0	0.00047824007651841227
441	vas	0.0	0.004399808703969393
442	dec	0.0	0.0024868483978957435
443	eno	0.018867924528301886	0.05365853658536585
444	gfp	0.0	0.01013868962219034
445	ncy	0.0	0.0012434241989478718
446	10_	0.018867924528301886	0.04916307986609278
447	9_c	0.0	0.007077953132472501
448	dic	0.018867924528301886	0.002965088474414156
449	ipt	0.0	0.0077474892395982785
450	rip	0.0	0.025538020086083215
451	r_a	0.018867924528301886	0.008225729316116691
452	mil	0.0	0.002965088474414156
453	cip	0.0	0.002773792443806791
454	der	0.0	0.048302247728359636
455	ag_	0.0	0.003347680535628886
456	niz	0.0	0.000860832137733142
457	ild	0.0	0.013964610234337637
458	(pe	0.0	0.0003825920612147298
459	os_	0.0	0.008034433285509325
460	vit	0.0	0.0035389765662362507
461	thi	0.0	0.002104256336681014
462	uta	0.0	0.0109038737446198
463	l_p	0.0	0.023720707795313246
464	pps	0.0	0.00028694404591104734
465	hum	0.018867924528301886	0.0561453849832616
466	odo	0.0	0.0016260162601626016
467	dja	0.0	0.002582496413199426
468	ure	0.0	0.021616451458632235
469	316	0.0	0.004208512673362028
470	ran	0.0	0.022477283596365374
471	96_	0.0	0.013486370157819226
472	sdc	0.0	0.008512673362027738
473	16_	0.018867924528301886	0.03892874222859875
474	uns	0.0	0.003825920612147298
475	n_n	0.018867924528301886	0.0077474892395982785
476	no1	0.0	0.0007651841224294596
477	reg	0.0	0.004782400765184123
478	sla	0.0	0.00047824007651841227
479	bar	0.0	0.0024868483978957435
480	con	0.0	0.08790052606408418
481	nri	0.0	0.0011477761836441894
482	oph	0.0	0.01367766618842659
483	sc_	0.0	0.01903395504543281
484	9f_	0.0	0.0005738880918220947
485	hos	0.0	0.0035389765662362507
486	gh_	0.0	0.006408417025346724
487	ies	0.0	0.005164992826398852
488	i_p	0.0	0.0005738880918220947
489	d_m	0.0	0.015399330463892875
490	3_(	0.0	0.0037302725968436155
491	tol	0.0	0.0028694404591104736
492	31_	0.0	0.03242467718794835
493	ibr	0.0	0.0196078431372549
494	tal	0.0	0.036441893830703016
495	rad	0.0	0.004782400765184123
496	epl	0.0	0.016451458632233382
497	hia	0.0	0.0024868483978957435
498	llo	0.0	0.004782400765184123
499	umb	0.0	0.006217120994739359
500	)2d	0.0	0.0003825920612147298
501	tof	0.0	0.0003825920612147298
502	lev	0.0	0.0012434241989478718
503	14_	0.018867924528301886	0.036920133907221424
504	rou	0.0	0.009182209469153515
505	n_r	0.0	0.010043041606886656
506	12_	0.018867924528301886	0.04294595887135342
507	d_c	0.0	0.023625059780009564
508	tch	0.0	0.004973696795791487
509	od_	0.0	0.03079866092778575
510	nar	0.0	0.004112864658058346
511	lec	0.0	0.009660449545671928
512	om_	0.0	0.0250597800095648
513	7_2	0.0	0.003443328550932568
514	ssu	0.018867924528301886	0.08292682926829269
515	l_4	0.0	0.003825920612147298
516	1-d	0.0	0.0016260162601626016
517	yes	0.0	0.004782400765184123
518	que	0.0	0.003634624581539933
519	ova	0.0	0.0077474892395982785
520	d-b	0.0	0.0009564801530368245
521	chi	0.018867924528301886	0.0077474892395982785
522	evi	0.0	0.0009564801530368245
523	u/c	0.0	9.564801530368245e-05
524	oll	0.0	0.008225729316116691
525	ode	0.0	0.008225729316116691
526	ory	0.0	0.007077953132472501
527	t-a	0.0	0.0014347202295552368
528	tor	0.0	0.025442372070779533
529	def	0.0	0.0013390722142515542
530	rve	0.0	0.0035389765662362507
531	d34	0.0	0.005738880918220947
532	gy_	0.0	0.0030607364897178384
533	tim	0.0	0.02419894787183166
534	-hu	0.0	0.00047824007651841227
535	h_a	0.03773584905660377	0.00430416068866571
536	1-c	0.0	0.0022955523672883787
537	ifu	0.0	0.0006695361071257771
538	2_h	0.0	0.008417025346724056
539	pha	0.0	0.011382113821138212
540	cca	0.0	0.001721664275466284
541	na-	0.0	0.015973218555714968
542	vec	0.0	0.011860353897656623
543	ana	0.0	0.004495456719273075
544	hku	0.0	9.564801530368245e-05
545	7_b	0.0	0.0023912003825920613
546	s2_	0.0	0.009182209469153515
547	oda	0.0	0.0003825920612147298
548	bri	0.0	0.001912960306073649
549	eci	0.0	0.007364897178383549
550	etd	0.0	0.0011477761836441894
551	e_w	0.0	0.0037302725968436155
552	20)	0.0	0.0006695361071257771
553	ls_	0.0	0.10224772835963654
554	em_	0.0	0.018555714968914394
555	a_c	0.0	0.03012912482065997
556	20_	0.018867924528301886	0.031946437111429936
557	eas	0.03773584905660377	0.03950263032042085
558	44_	0.0	0.019703491152558584
559	som	0.0	0.006312769010043041
560	ehi	0.018867924528301886	0.0065040650406504065
561	obu	0.0	9.564801530368245e-05
562	sin	0.0	0.015877570540411286
563	p/k	0.0	0.0001912960306073649
564	r_p	0.0	0.007651841224294596
565	pol	0.0	0.006791009086561454
566	-am	0.018867924528301886	0.0018173122907699664
567	ush	0.0	0.0007651841224294596
568	cd6	0.0	0.0005738880918220947
569	kno	0.018867924528301886	0.017025346724055476
570	ti-	0.0	0.0032520325203252032
571	nts	0.0	0.00392156862745098
572	ds-	0.0	0.0003825920612147298
573	er1	0.0	0.0005738880918220947
574	9_v	0.0	0.0009564801530368245
575	obe	0.0	0.002773792443806791
576	23_	0.018867924528301886	0.02687709230033477
577	ar_	0.0	0.02266857962697274
578	m_t	0.0	0.005643232902917264
579	3-0	0.0	0.00468675274988044
580	gh/	0.0	0.0001912960306073649
581	ary	0.0	0.029555236728837878
582	hig	0.0	0.00784313725490196
583	sam	0.0	0.03012912482065997
584	y_p	0.0	0.006217120994739359
585	bio	0.0	0.02190339550454328
586	ep_	0.0	0.008799617407938786
587	3_s	0.0	0.009851745576279292
588	geo	0.0	0.0012434241989478718
589	e_3	0.0	0.012147297943567672
590	xor	0.0	0.0012434241989478718
591	100	0.0	0.018651362984218076
592	hi_	0.0	0.001721664275466284
593	v19	0.0	0.0007651841224294596
594	olu	0.0	0.0014347202295552368
595	ubj	0.0	0.007651841224294596
596	qua	0.0	0.0035389765662362507
597	den	0.018867924528301886	0.01482544237207078
598	ns_	0.0	0.018555714968914394
599	cap	0.0	0.0065040650406504065
600	tom	0.0	0.01291248206599713
601	rde	0.0	0.0013390722142515542
602	g_5	0.0	0.0013390722142515542
603	7_o	0.0	0.0014347202295552368
604	oid	0.0	0.021233859397417502
605	lit	0.0	0.002582496413199426
606	lun	0.0	0.016164514586322332
607	shi	0.0	0.002582496413199426
608	rom	0.0	0.03204208512673362
609	l_r	0.0	0.020373027259684363
610	yt3	0.0	0.0001912960306073649
611	for	0.0	0.02190339550454328
612	bin	0.0	0.00468675274988044
613	n/a	0.018867924528301886	0.004399808703969393
614	hyd	0.0	0.0011477761836441894
615	e_4	0.0	0.006217120994739359
616	ros	0.0	0.014251554280248685
617	bje	0.0	0.007460545193687231
618	n_f	0.0	0.007077953132472501
619	oli	0.0	0.006217120994739359
620	cho	0.0	0.005738880918220947
621	mdc	0.0	0.0006695361071257771
622	ful	0.0	0.0011477761836441894
623	m_1	0.0	0.003825920612147298
624	r65	0.0	0.0001912960306073649
625	l4_	0.0	0.0031563845050215206
626	rov	0.018867924528301886	0.011286465805834528
627	ewa	0.0	0.0018173122907699664
628	num	0.0	0.002965088474414156
629	4_m	0.0	0.003347680535628886
630	usa	0.0	0.002773792443806791
631	dac	0.0	0.002582496413199426
632	ht_	0.0	0.004782400765184123
633	nep	0.0	0.0015303682448589192
634	5_g	0.0	0.0011477761836441894
635	rte	0.018867924528301886	0.010616929698708751
636	d13	0.0	0.002773792443806791
637	1-m	0.0	0.0014347202295552368
638	int	0.0	0.017790530846484937
639	dmi	0.0	0.00028694404591104734
640	a_i	0.0	0.004591104734576757
641	acr	0.0	0.006791009086561454
642	6_a	0.0	0.0030607364897178384
643	dms	0.0	0.025538020086083215
644	mor	0.018867924528301886	0.03146819703491153
645	gri	0.0	0.0006695361071257771
646	l_0	0.0	0.0007651841224294596
647	lli	0.0	0.004112864658058346
648	1oe	0.0	0.0001912960306073649
649	153	0.018867924528301886	0.006791009086561454
650	lup	0.0	0.0005738880918220947
651	dua	0.0	0.004208512673362028
652	eot	0.0	0.00028694404591104734
653	p4_	0.0	0.006791009086561454
654	neu	0.0	0.022477283596365374
655	s_g	0.0	0.002773792443806791
656	com	0.0	0.016547106647537065
657	t_a	0.018867924528301886	0.009469153515064563
658	sty	0.0	0.0003825920612147298
659	ms3	0.0	0.00047824007651841227
660	fec	0.0	0.024868483978957436
661	dis	0.0	0.026111908177905308
662	idi	0.0	0.0020086083213773313
663	nke	0.0	0.0005738880918220947
664	mci	0.0	0.0006695361071257771
665	rn_	0.018867924528301886	0.000860832137733142
666	p_y	0.0	0.0003825920612147298
667	oi1	0.0	0.00028694404591104734
668	llu	0.0	0.006217120994739359
669	ire	0.0	0.002582496413199426
670	5_p	0.0	0.005547584887613582
671	-1_	0.0	0.02582496413199426
672	189	0.0	0.005930176948828312
673	nan	0.0	0.003825920612147298
674	ucl	0.0	0.008130081300813009
675	pit	0.0	0.018938307030129126
676	hy_	0.0	0.01836441893830703
677	icu	0.0	0.0035389765662362507
678	-g1	0.0	0.001052128168340507
679	45+	0.0	0.0018173122907699664
680	psi	0.0	0.0020086083213773313
681	ro_	0.0	0.004112864658058346
682	bur	0.0	0.0009564801530368245
683	uve	0.0	0.004591104734576757
684	xan	0.0	0.00028694404591104734
685	eol	0.0	0.0023912003825920613
686	f01	0.0	0.000860832137733142
687	d_(	0.0	0.004399808703969393
