Fold	Prediction	Truth	Proj&Col
2	0.0	0	752588
2	0.0	0	832589
2	0.44	0	638272
2	0.08	0	884312
2	0.02	0	904775
2	0.0	0	716516
2	0.06	0	488269
2	0.02	0	296380
2	0.01	0	554098
2	0.0	0	533638
2	0.13	0	341062
2	0.0	0	611945
2	0.0	0	719841
2	0.01	0	713815
2	0.01	0	326541
2	0.01	0	708208
2	0.0	0	560087
2	0.12	0	415462
2	0.15	0	643420
2	0.1	0	759623
2	0.0	0	769185
2	0.02	0	724714
2	0.04	0	305666
2	0.17	0	743049
2	0.08	0	626447
2	0.0	0	892510
2	0.0	0	540857
2	0.04	0	785887
2	0.0	0	770195
2	0.04	0	433178
2	0.06	0	387681
2	0.09	1	598161
2	0.03	0	703847
2	0.02	0	701488
2	0.04	0	238012
2	0.0	0	384140
2	0.13	0	868372
2	0.02	0	534320
2	0.03	0	245994
2	0.01	0	694646
2	0.01	0	638813
2	0.02	0	268979
2	0.0	0	260526
2	0.11	0	782878
2	0.0	0	512902
2	0.07	0	200629
2	0.0	0	884116
2	0.02	0	429023
2	0.0	0	759604
2	0.08	0	541846
2	0.04	0	573659
2	0.05	0	168984
2	0.06	0	757410
2	0.02	0	725124
2	0.08	1	487456
2	0.03	0	831839
2	0.0	0	438507
2	0.01	0	327709
2	0.1	0	980109
2	0.01	0	543304
2	0.02	0	508736
2	0.27	0	685117
2	0.01	0	509611
2	0.03	0	634154
2	0.01	0	674580
2	0.0	0	325833
2	0.01	0	421274
2	0.03	0	719362
2	0.02	0	556609
2	0.06	0	433853
2	0.03	0	471680
2	0.07	0	575200
2	0.0	0	289739
2	0.02	0	276014
2	0.0	0	342608
2	0.0	0	606268
2	0.09	0	707605
2	0.03	0	938090
2	0.01	0	612310
2	0.0	0	753110
2	0.0	0	733489
2	0.02	0	487726
2	0.01	0	413568
2	0.03	0	755253
2	0.0	0	392660
2	0.04	0	1012590
2	0.0	0	655701
2	0.02	0	128275
2	0.0	0	311600
2	0.01	0	501808
2	0.23	1	929897
2	0.01	0	298852
2	0.03	0	926611
2	0.0	0	421151
2	0.17	1	493229
2	0.0	0	773941
2	0.0	0	542674
2	0.0	0	682051
2	0.05	0	304502
2	0.0	0	992490
2	0.0	0	850175
2	0.06	0	525604
2	0.09	0	518021
2	0.01	0	693189
2	0.0	0	163233
2	0.01	0	766679
2	0.0	0	764592
2	0.0	0	248289
2	0.06	0	579354
2	0.0	0	702118
2	0.0	0	688922
2	0.0	0	607042
2	0.0	0	947606
2	0.0	0	248302
2	0.04	0	820608
2	0.01	0	588429
2	0.0	0	838204
2	0.0	0	579894
2	0.09	0	543671
2	0.11	0	276817
2	0.08	1	942939
2	0.0	0	771412
2	0.0	0	307345
2	0.0	0	868757
2	0.07	0	673403
2	0.0	0	757415
2	0.0	0	379623
2	0.1	0	664368
2	0.04	0	558778
2	0.0	0	801472
2	0.03	0	232473
2	0.04	0	858681
2	0.0	0	870102
2	0.0	0	288751
2	0.22	0	891530
2	0.03	0	354482
2	0.01	0	551587
2	0.17	0	137067
2	0.01	0	528920
2	0.0	0	706566
2	0.0	0	1011308
2	0.02	0	612998
2	0.0	0	772289
2	0.0	0	434013
2	0.01	0	339520
2	0.19	1	946740
2	0.01	0	392445
2	0.01	0	615805
2	0.09	0	929981
2	0.0	0	699011
2	0.0	0	688700
2	0.01	0	190702
2	0.05	0	576220
2	0.0	0	435535
2	0.0	0	786460
2	0.05	0	613402
2	0.08	0	555187
2	0.01	0	649209
2	0.01	0	566149
2	0.07	0	657414
2	0.11	0	690937
2	0.01	0	820750
2	0.0	0	790837
2	0.0	0	594408
2	0.31	1	805525
2	0.0	0	681212
2	0.02	0	430265
2	0.01	0	350777
2	0.12	0	728867
2	0.03	0	510086
2	0.03	0	345193
2	0.0	0	506045
2	0.07	0	941892
2	0.03	0	275667
2	0.0	0	785535
2	0.01	0	641428
2	0.05	0	599161
2	0.0	0	602808
2	0.03	0	595385
2	0.01	0	577625
2	0.19	0	448419
2	0.05	0	756028
2	0.0	0	557665
2	0.03	0	851904
2	0.0	0	836415
2	0.0	0	795161
2	0.01	0	803470
2	0.1	0	649487
2	0.0	0	728070
2	0.04	0	789689
2	0.03	0	473839
2	0.0	0	783541
2	0.05	0	901943
2	0.0	0	227025
